Unit Cell Height,Base Length ,Side Length,Structure Height,Structure Length,Material,Young's Modulus,Density,Poisson's Ratio,Boundary Conditions,Frequency #,Hexagonal Eigenfrequency (Hz),Auxetic Eigenfrequency 
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,7,141.069992112784,189.42268584124483
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,8,157.0407482780886,204.059984121671
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,9,181.6211987566559,208.39575977777142
13.00,16.00,8.50,72,162.80,Al_Foam,"1,00E+08",800,0.4,NNN,10,190.7687743388363,246.4162734122444
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,1,1280.983141617518,6765.019666289473
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,2,4597.230614786505,14798.01133222359
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,3,5834.54724134295,14954.58145952473
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,4,6840.376655457158,15607.829041772504
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,5,7538.819577964715,17845.863414475603
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,6,7628.930377652122,19398.067751368497
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,7,8621.0189069468,21421.99649918548
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,8,9980.504652952974,21879.736141206682
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,9,11734.061787798737,22881.55675274424
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,FNF,10,11899.671095585963,23803.540489965933
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,1,809.8342430349581,2373.105670515297
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,2,1166.14520686006,2401.937981731713
13.00,16.00,8.50,72,162.80,CF_High,"7,00E+11",1800,0.4,NNF,3,3360.8394586336485,2640.932070881091
